"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"1136",107,1,0,0,0,6,0,3,7,-2.77004252841268,1.96276558195864,0.432930616342066
"1152",108,1,0.91781144077,1,11,2,8,3,7,0.0845814512492421,-0.435183319076804,0.432930616342066
"1173",110,1,0.507321593701,1,10,2,9,2,7,0.441409448706982,-0.435183319076804,-0.118443281829433
"1194",112,1,0.476874003711,1,6,1,9,1,7,0.441409448706982,-1.03467054433567,-0.669817180000932
"1201",113,1,0.645098286856,1,14,3,7,5,7,-0.272246546208498,0.164303906182059,1.53567841268506
"1216",114,1,0.196867928025,1,10,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"1227",115,1,0.952175827464,1,15,3,7,5,7,-0.272246546208498,0.164303906182059,1.53567841268506
"1243",116,1,0.614576968888,1,5,2,8,1,7,0.0845814512492421,-0.435183319076804,-0.669817180000932
"1249",117,1,0,0,0,4,2,6,7,-2.0563865334972,0.763791131440921,2.08705231085656
"1265",118,1,0.20734070841,1,9,3,7,1,7,-0.272246546208498,0.164303906182059,-0.669817180000932
"1275",119,1,0,0,0,5,3,4,7,-1.69955853603946,1.36327835669978,0.984304514513565
"1291",120,1,0.290127965738,1,6,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"1298",121,1,0.1127269438,1,11,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"1320",123,1,0.424025750137,1,7,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"1328",124,1,0.509416354646,1,13,2,9,1,7,0.441409448706982,-0.435183319076804,-0.669817180000932
"1342",125,1,0.427244179416,1,15,3,2,6,7,-2.0563865334972,0.164303906182059,2.08705231085656
"1358",126,1,0.441169543541,1,8,2,8,1,7,0.0845814512492421,-0.435183319076804,-0.669817180000932
"1375",128,1,0.715845021128,1,12,1,10,1,7,0.798237446164722,-1.03467054433567,-0.669817180000932
"1388",129,1,0.156823076832,1,14,2,9,2,7,0.441409448706982,-0.435183319076804,-0.118443281829433
"1403",130,8,0.18813731143,1,3,2,10,1,7,0.798237446164722,-0.435183319076804,-0.669817180000932
"1407",131,1,0,0,0,5,4,3,7,-1.34273053858172,1.36327835669978,0.432930616342066
"1432",133,1,0.1236905611,1,12,3,7,2,7,-0.272246546208498,0.164303906182059,-0.118443281829433
"1445",134,1,0.0161730421823,1,12,2,8,1,7,0.0845814512492421,-0.435183319076804,-0.669817180000932
"37",0,1,0.000211626341752,1,10,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"48",1,1,0.122268142863,1,11,1,9,2,8,0.616401518958708,-0.537082021547221,0.0223854176363708
"67",3,1,0.567897581042,1,9,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"77",4,1,0.135684228922,1,2,1,7,3,8,-0.0261792150909104,-0.537082021547221,0.626791693818383
"80",5,1,0.777477291128,1,12,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"931",6,1,0,0,0,5,1,5,8,-1.95392141723977,2.27868780015665,1.83560424618241
"109",7,1,0.5401912556,1,6,3,4,6,8,-0.990050316165338,0.870802889304717,2.44001052236442
"1161",8,1,0.0718962949004,1,7,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"136",10,1,0.716381448971,1,10,1,4,1,8,-0.990050316165338,-0.537082021547221,-0.582020858545641
"147",11,7,0.604688137866,1,6,1,7,3,8,-0.0261792150909104,-0.537082021547221,0.626791693818383
"1541",12,1,0.158233356954,1,13,3,3,2,8,-1.31134068319015,0.870802889304717,0.0223854176363708
"168",13,1,0.23410140042,1,11,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"180",14,1,0.0177121007941,1,13,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"194",15,1,0.203306013056,1,6,1,7,1,8,-0.0261792150909104,-0.537082021547221,-0.582020858545641
